FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187b3d87864_3a20,5334002,1088,Augustinerbach
strassennamen.fid--3213a59_187b3d87864_3a21,5334002,1089,Augustinergasse
strassennamen.fid--3213a59_187b3d87864_3a22,5334002,1090,Augustinerplatz
strassennamen.fid--3213a59_187b3d87864_3a23,5334002,1091,Aureliusstraße
strassennamen.fid--3213a59_187b3d87864_3a24,5334002,1092,Aussemstraße
strassennamen.fid--3213a59_187b3d87864_3a25,5334002,1093,Austraße
strassennamen.fid--3213a59_187b3d87864_3a26,5334002,1094,Katzenpützweg
strassennamen.fid--3213a59_187b3d87864_3a27,5334002,1095,Bachstraße
strassennamen.fid--3213a59_187b3d87864_3a28,5334002,1096,Bädersteig
strassennamen.fid--3213a59_187b3d87864_3a29,5334002,1097,Bärenstraße
strassennamen.fid--3213a59_187b3d87864_3a2a,5334002,1098,Bahnhofplatz
strassennamen.fid--3213a59_187b3d87864_3a2b,5334002,1099,Bahnhofstraße
strassennamen.fid--3213a59_187b3d87864_3a2c,5334002,1101,Barbarastraße
strassennamen.fid--3213a59_187b3d87864_3a2d,5334002,1102,Barbarossaplatz
strassennamen.fid--3213a59_187b3d87864_3a2e,5334002,1103,Klausbergweg
strassennamen.fid--3213a59_187b3d87864_3a2f,5334002,1104,Bayernallee
strassennamen.fid--3213a59_187b3d87864_3a30,5334002,1105,Kreuzertal
strassennamen.fid--3213a59_187b3d87864_3a31,5334002,1106,Beeckstraße
strassennamen.fid--3213a59_187b3d87864_3a32,5334002,1107,Beethovenstraße
strassennamen.fid--3213a59_187b3d87864_3a33,5334002,1108,Merlepützweg
strassennamen.fid--3213a59_187b3d87864_3a34,5334002,1109,Beginenstraße
strassennamen.fid--3213a59_187b3d87864_3a35,5334002,1110,Moresneter Weg
strassennamen.fid--3213a59_187b3d87864_3a36,5334002,1111,Bendelstraße
strassennamen.fid--3213a59_187b3d87864_3a37,5334002,1112,Bendstraße
strassennamen.fid--3213a59_187b3d87864_3a38,5334002,1113,Benediktinerstraße
strassennamen.fid--3213a59_187b3d87864_3a39,5334002,1114,Oberer Backertsweg
strassennamen.fid--3213a59_187b3d87864_3a3a,5334002,1115,Bergdriesch
strassennamen.fid--3213a59_187b3d87864_3a3b,5334002,1116,Bergische Gasse
strassennamen.fid--3213a59_187b3d87864_3a3c,5334002,1117,Bergstraße
strassennamen.fid--3213a59_187b3d87864_3a3d,5334002,1118,Osterweg
strassennamen.fid--3213a59_187b3d87864_3a3e,5334002,1119,Kaltbachgässchen
strassennamen.fid--3213a59_187b3d87864_3a3f,5334002,1120,Philippionsweg
strassennamen.fid--3213a59_187b3d87864_3a40,5334002,1121,Revierweg
strassennamen.fid--3213a59_187b3d87864_3a41,5334002,1122,Bertholdstraße
strassennamen.fid--3213a59_187b3d87864_3a42,5334002,1123,Rotsiefweg
strassennamen.fid--3213a59_187b3d87864_3a43,5334002,1124,Beverstraße
strassennamen.fid--3213a59_187b3d87864_3a44,5334002,1125,Birkengrund
strassennamen.fid--3213a59_187b3d87864_3a45,5334002,1126,Kopernikusstraße
strassennamen.fid--3213a59_187b3d87864_3a46,5334002,1127,Hirschweg
strassennamen.fid--3213a59_187b3d87864_3a47,5334002,1128,Bischofstraße
strassennamen.fid--3213a59_187b3d87864_3a48,5334002,1129,Natternweg
strassennamen.fid--3213a59_187b3d87864_3a49,5334002,1131,Südweg
strassennamen.fid--3213a59_187b3d87864_3a4a,5334002,1133,Trappenweg
strassennamen.fid--3213a59_187b3d87864_3a4b,5334002,1135,Tunnelweg
