FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187b3d87864_3b23,5334002,1473,Karlshöher Hochweg
strassennamen.fid--3213a59_187b3d87864_3b24,5334002,1474,Karlshöher Talweg
strassennamen.fid--3213a59_187b3d87864_3b25,5334002,1475,Haßlerstraße
strassennamen.fid--3213a59_187b3d87864_3b26,5334002,1476,Karmeliterstraße
strassennamen.fid--3213a59_187b3d87864_3b27,5334002,1478,Kasernenstraße
strassennamen.fid--3213a59_187b3d87864_3b28,5334002,1483,Katschhof
strassennamen.fid--3213a59_187b3d87864_3b29,5334002,1484,Kavenstraße
strassennamen.fid--3213a59_187b3d87864_3b2a,5334002,1486,Kesselweg
strassennamen.fid--3213a59_187b3d87864_3b2b,5334002,1487,Kettelerstraße
strassennamen.fid--3213a59_187b3d87864_3b2c,5334002,1489,Kirberichshofer Weg
strassennamen.fid--3213a59_187b3d87864_3b2d,5334002,1490,Kirchstraße
strassennamen.fid--3213a59_187b3d87864_3b2e,5334002,1491,Kelmiser Straße
strassennamen.fid--3213a59_187b3d87864_3b2f,5334002,1492,Klappergasse
strassennamen.fid--3213a59_187b3d87864_3b30,5334002,1493,Klara-Fey-Straße
strassennamen.fid--3213a59_187b3d87864_3b31,5334002,1495,Klausenerstraße
strassennamen.fid--3213a59_187b3d87864_3b32,5334002,1497,Kleinkölnstraße
strassennamen.fid--3213a59_187b3d87864_3b33,5334002,1498,Kleinmarschierstraße
strassennamen.fid--3213a59_187b3d87864_3b34,5334002,1500,Klemensstraße
strassennamen.fid--3213a59_187b3d87864_3b35,5334002,1502,Kleverstraße
strassennamen.fid--3213a59_187b3d87864_3b36,5334002,1505,Klosterplatz
strassennamen.fid--3213a59_187b3d87864_3b37,5334002,1506,Klostertreppe
strassennamen.fid--3213a59_187b3d87864_3b38,5334002,1507,Klosterweiher
strassennamen.fid--3213a59_187b3d87864_3b39,5334002,1508,Knöpgerweg
strassennamen.fid--3213a59_187b3d87864_3b3a,5334002,1509,Kockerellstraße
strassennamen.fid--3213a59_187b3d87864_3b3b,5334002,1510,Königsberger Straße
strassennamen.fid--3213a59_187b3d87864_3b3c,5334002,1511,Köhlstraße
strassennamen.fid--3213a59_187b3d87864_3b3d,5334002,1512,Königshügel
strassennamen.fid--3213a59_187b3d87864_3b3e,5334002,1513,Königstraße
strassennamen.fid--3213a59_187b3d87864_3b3f,5334002,1514,Körbergasse
strassennamen.fid--3213a59_187b3d87864_3b40,5334002,1515,Körnerstraße
strassennamen.fid--3213a59_187b3d87864_3b41,5334002,1516,Kolberger Straße
strassennamen.fid--3213a59_187b3d87864_3b42,5334002,1517,Don-Bosco-Straße
strassennamen.fid--3213a59_187b3d87864_3b43,5334002,1519,Komphausbadstraße
strassennamen.fid--3213a59_187b3d87864_3b44,5334002,1521,Kongressstraße
strassennamen.fid--3213a59_187b3d87864_3b45,5334002,1523,Kornelimünsterweg
strassennamen.fid--3213a59_187b3d87864_3b46,5334002,1524,Mefferdatisstraße
strassennamen.fid--3213a59_187b3d87864_3b47,5334002,1526,Krähenwäldchen
strassennamen.fid--3213a59_187b3d87864_3b48,5334002,1528,Krämerstraße
strassennamen.fid--3213a59_187b3d87864_3b49,5334002,1532,Krakaustraße
strassennamen.fid--3213a59_187b3d87864_3b4a,5334002,1535,Krautmühlenweg
strassennamen.fid--3213a59_187b3d87864_3b4b,5334002,1539,Kreuzerdriesch
strassennamen.fid--3213a59_187b3d87864_3b4c,5334002,1540,Kreuzherrenstraße
strassennamen.fid--3213a59_187b3d87864_3b4d,5334002,1546,Kronprinzenstraße
strassennamen.fid--3213a59_187b3d87864_3b4e,5334002,1550,Kruppstraße
strassennamen.fid--3213a59_187b3d87864_3b4f,5334002,1552,Kühlwetterstraße
strassennamen.fid--3213a59_187b3d87864_3b50,5334002,1553,Küpperstraße
strassennamen.fid--3213a59_187b3d87864_3b51,5334002,1557,Kupferstraße
strassennamen.fid--3213a59_187b3d87864_3b52,5334002,1559,Kurfürstenstraße
strassennamen.fid--3213a59_187b3d87864_3b53,5334002,1560,Kurhausstraße
strassennamen.fid--3213a59_187b3d87864_3b54,5334002,1561,Lagerhausstraße
strassennamen.fid--3213a59_187b3d87864_3b55,5334002,1563,Landdrostenstraße
strassennamen.fid--3213a59_187b3d87864_3b56,5334002,1565,Leipziger Straße
strassennamen.fid--3213a59_187b3d87864_3b57,5334002,1566,Lemierser Straße
strassennamen.fid--3213a59_187b3d87864_3b58,5334002,1567,Lennéstraße
strassennamen.fid--3213a59_187b3d87864_3b59,5334002,1568,Leo-Blech-Straße
strassennamen.fid--3213a59_187b3d87864_3b5a,5334002,1569,Gottfried-Dossing-Platz
strassennamen.fid--3213a59_187b3d87864_3b5b,5334002,1570,Leonhardstraße
strassennamen.fid--3213a59_187b3d87864_3b5c,5334002,1571,Lerchenweg
strassennamen.fid--3213a59_187b3d87864_3b5d,5334002,1574,Liebigstraße
strassennamen.fid--3213a59_187b3d87864_3b5e,5334002,1576,Lilienthalstraße
strassennamen.fid--3213a59_187b3d87864_3b5f,5334002,1577,Limburger Straße
strassennamen.fid--3213a59_187b3d87864_3b60,5334002,1578,Lindenplatz
strassennamen.fid--3213a59_187b3d87864_3b61,5334002,1580,Lintertstraße
strassennamen.fid--3213a59_187b3d87864_3b62,5334002,1582,Lintertweg
strassennamen.fid--3213a59_187b3d87864_3b63,5334002,1583,Lisztstraße
strassennamen.fid--3213a59_187b3d87864_3b64,5334002,1587,Löhergraben
strassennamen.fid--3213a59_187b3d87864_3b65,5334002,1589,Lohmühlenstraße
strassennamen.fid--3213a59_187b3d87864_3b66,5334002,1591,Lombardenstraße
strassennamen.fid--3213a59_187b3d87864_3b67,5334002,1593,Lortzingstraße
strassennamen.fid--3213a59_187b3d87864_3b68,5334002,1596,Louis-Beißel-Straße
strassennamen.fid--3213a59_187b3d87864_3b69,5334002,1597,Belvedereallee
strassennamen.fid--3213a59_187b3d87864_3b6a,5334002,1598,Lousbergstraße
strassennamen.fid--3213a59_187b3d87864_3b6b,5334002,1601,Luerweg
strassennamen.fid--3213a59_187b3d87864_3b6c,5334002,1603,Lützowstraße
strassennamen.fid--3213a59_187b3d87864_3b6d,5334002,1604,Luise-Hensel-Straße
strassennamen.fid--3213a59_187b3d87864_3b6e,5334002,1606,Luxemburger Ring
strassennamen.fid--3213a59_187b3d87864_3b6f,5334002,1607,Lutherweg
strassennamen.fid--3213a59_187b3d87864_3b70,5334002,1611,Mallinckrodtstraße
strassennamen.fid--3213a59_187b3d87864_3b71,5334002,1615,Malteserstraße
strassennamen.fid--3213a59_187b3d87864_3b72,5334002,1617,Margratenstraße
strassennamen.fid--3213a59_187b3d87864_3b73,5334002,1619,Mariabrunnstraße
strassennamen.fid--3213a59_187b3d87864_3b74,5334002,1620,Mariahilfstraße
strassennamen.fid--3213a59_187b3d87864_3b75,5334002,1622,Marienbongard
strassennamen.fid--3213a59_187b3d87864_3b76,5334002,1623,Marienplatz
strassennamen.fid--3213a59_187b3d87864_3b77,5334002,1624,Berdoletstraße
strassennamen.fid--3213a59_187b3d87864_3b78,5334002,1626,Marienburger Straße
strassennamen.fid--3213a59_187b3d87864_3b79,5334002,1627,Markt
strassennamen.fid--3213a59_187b3d87864_3b7a,5334002,1628,Triebelsstraße
strassennamen.fid--3213a59_187b3d87864_3b7b,5334002,1629,Martelenberger Weg
strassennamen.fid--3213a59_187b3d87864_3b7c,5334002,1630,Marshallstraße
strassennamen.fid--3213a59_187b3d87864_3b7d,5334002,1631,Martin-Luther-Straße
strassennamen.fid--3213a59_187b3d87864_3b7e,5334002,1632,Martinstraße
strassennamen.fid--3213a59_187b3d87864_3b7f,5334002,1634,Matthiashofstraße
strassennamen.fid--3213a59_187b3d87864_3b80,5334002,1636,Mauerstraße
strassennamen.fid--3213a59_187b3d87864_3b81,5334002,1638,Maxstraße
strassennamen.fid--3213a59_187b3d87864_3b82,5334002,1639,Mechtildisstraße
strassennamen.fid--3213a59_187b3d87864_3b83,5334002,1640,Meerssener Straße
strassennamen.fid--3213a59_187b3d87864_3b84,5334002,1641,Meisenweg
strassennamen.fid--3213a59_187b3d87864_3b85,5334002,1644,Melatener Weg
strassennamen.fid--3213a59_187b3d87864_3b86,5334002,1646,Merowingerstraße
strassennamen.fid--3213a59_187b3d87864_3b87,5334002,1648,Metzgerstraße
strassennamen.fid--3213a59_187b3d87864_3b88,5334002,1649,Michaelsbergstraße
strassennamen.fid--3213a59_187b3d87864_3b89,5334002,1650,Frère-Roger-Straße
strassennamen.fid--3213a59_187b3d87864_3b8a,5334002,1651,Michaelstreppe
strassennamen.fid--3213a59_187b3d87864_3b8b,5334002,1652,Middeldorfstraße
strassennamen.fid--3213a59_187b3d87864_3b8c,5334002,1654,Mies-van-der-Rohe-Straße
strassennamen.fid--3213a59_187b3d87864_3b8d,5334002,1656,Minoritenstraße
strassennamen.fid--3213a59_187b3d87864_3b8e,5334002,1658,Leydelstraße
strassennamen.fid--3213a59_187b3d87864_3b8f,5334002,1660,Mörgensstraße
strassennamen.fid--3213a59_187b3d87864_3b90,5334002,1662,Moltkestraße
strassennamen.fid--3213a59_187b3d87864_3b91,5334002,1663,Monheimsallee
strassennamen.fid--3213a59_187b3d87864_3b92,5334002,1666,Montzener Straße
strassennamen.fid--3213a59_187b3d87864_3b93,5334002,1667,Moreller Weg
strassennamen.fid--3213a59_187b3d87864_3b94,5334002,1668,Morillenhang
strassennamen.fid--3213a59_187b3d87864_3b95,5334002,1670,Mostardstraße
strassennamen.fid--3213a59_187b3d87864_3b96,5334002,1672,Mozartstraße
strassennamen.fid--3213a59_187b3d87864_3b97,5334002,1674,Mühlenberg
strassennamen.fid--3213a59_187b3d87864_3b98,5334002,1675,Mühlental
strassennamen.fid--3213a59_187b3d87864_3b99,5334002,1677,Mühlradstraße
strassennamen.fid--3213a59_187b3d87864_3b9a,5334002,1678,Münsterplatz
strassennamen.fid--3213a59_187b3d87864_3b9b,5334002,1679,Muffeter Weg
strassennamen.fid--3213a59_187b3d87864_3b9c,5334002,1680,Münstergracht
strassennamen.fid--3213a59_187b3d87864_3b9d,5334002,1681,Nachtigallenweg
strassennamen.fid--3213a59_187b3d87864_3b9e,5334002,1683,Nekesstraße
strassennamen.fid--3213a59_187b3d87864_3b9f,5334002,1684,Nelkenweg
strassennamen.fid--3213a59_187b3d87864_3ba0,5334002,1685,Nellessenstraße
strassennamen.fid--3213a59_187b3d87864_3ba1,5334002,1687,Neuhausstraße
strassennamen.fid--3213a59_187b3d87864_3ba2,5334002,1689,Neumarkt
strassennamen.fid--3213a59_187b3d87864_3ba3,5334002,1690,Neupforte
strassennamen.fid--3213a59_187b3d87864_3ba4,5334002,1692,Neustraße
strassennamen.fid--3213a59_187b3d87864_3ba5,5334002,1694,Nikolausstraße
strassennamen.fid--3213a59_187b3d87864_3ba6,5334002,1696,Nizzaallee
strassennamen.fid--3213a59_187b3d87864_3ba7,5334002,1697,Nordhoffstraße
strassennamen.fid--3213a59_187b3d87864_3ba8,5334002,1698,Normannenstraße
strassennamen.fid--3213a59_187b3d87864_3ba9,5334002,1700,Obere Drimbornstraße
strassennamen.fid--3213a59_187b3d87864_3baa,5334002,1702,Oberstraße
strassennamen.fid--3213a59_187b3d87864_3bab,5334002,1704,Oligsbendengasse
strassennamen.fid--3213a59_187b3d87864_3bac,5334002,1706,Oppenhoffallee
strassennamen.fid--3213a59_187b3d87864_3bad,5334002,1708,Oranienstraße
strassennamen.fid--3213a59_187b3d87864_3bae,5334002,1714,Kurbrunnenstraße
strassennamen.fid--3213a59_187b3d87864_3baf,5334002,1718,Pastorplatz
strassennamen.fid--3213a59_187b3d87864_3bb0,5334002,1719,Paugasse
strassennamen.fid--3213a59_187b3d87864_3bb1,5334002,1720,Paulusstraße
strassennamen.fid--3213a59_187b3d87864_3bb2,5334002,1721,Paul-Röntgen-Straße
strassennamen.fid--3213a59_187b3d87864_3bb3,5334002,1724,Peterskirchhof
strassennamen.fid--3213a59_187b3d87864_3bb4,5334002,1726,Peterstraße
strassennamen.fid--3213a59_187b3d87864_3bb5,5334002,1727,Petronellastraße
strassennamen.fid--3213a59_187b3d87864_3bb6,5334002,1730,Pfeilstraße
strassennamen.fid--3213a59_187b3d87864_3bb7,5334002,1732,Piefenhäuschenweg
strassennamen.fid--3213a59_187b3d87864_3bb8,5334002,1734,Pieter-Bruegel-Straße
strassennamen.fid--3213a59_187b3d87864_3bb9,5334002,1736,Pippinstraße
strassennamen.fid--3213a59_187b3d87864_3bba,5334002,1737,Piusstraße
strassennamen.fid--3213a59_187b3d87864_3bbb,5334002,1739,Pommerotter Weg
strassennamen.fid--3213a59_187b3d87864_3bbc,5334002,1740,Pontdriesch
strassennamen.fid--3213a59_187b3d87864_3bbd,5334002,1742,Pontwall
strassennamen.fid--3213a59_187b3d87864_3bbe,5334002,1744,Pottenmühlenweg
strassennamen.fid--3213a59_187b3d87864_3bbf,5334002,1746,Preusweg
strassennamen.fid--3213a59_187b3d87864_3bc0,5334002,1747,Prinzenhofstraße
strassennamen.fid--3213a59_187b3d87864_3bc1,5334002,1748,Prinz-Eugen-Straße
strassennamen.fid--3213a59_187b3d87864_3bc2,5334002,1751,Professor-Pirlet-Straße
strassennamen.fid--3213a59_187b3d87864_3bc3,5334002,1753,Promenadenstraße
strassennamen.fid--3213a59_187b3d87864_3bc4,5334002,1755,Raerener Gracht
strassennamen.fid--3213a59_187b3d87864_3bc5,5334002,1757,Rasostraße
strassennamen.fid--3213a59_187b3d87864_3bc6,5334002,1758,Rathenauallee
strassennamen.fid--3213a59_187b3d87864_3bc7,5334002,1759,Rehmannstraße
strassennamen.fid--3213a59_187b3d87864_3bc8,5334002,1760,Rehmplatz
strassennamen.fid--3213a59_187b3d87864_3bc9,5334002,1762,Reichsweg
strassennamen.fid--3213a59_187b3d87864_3bca,5334002,1764,Reihstraße
strassennamen.fid--3213a59_187b3d87864_3bcb,5334002,1765,Reimanstraße
strassennamen.fid--3213a59_187b3d87864_3bcc,5334002,1767,Reimser Straße
strassennamen.fid--3213a59_187b3d87864_3bcd,5334002,1768,Rennbahn
strassennamen.fid--3213a59_187b3d87864_3bce,5334002,1770,Republikplatz
strassennamen.fid--3213a59_187b3d87864_3bcf,5334002,1772,Rethelstraße
strassennamen.fid--3213a59_187b3d87864_3bd0,5334002,1777,Rhein-Maas-Straße
strassennamen.fid--3213a59_187b3d87864_3bd1,5334002,1779,Richardstraße
strassennamen.fid--3213a59_187b3d87864_3bd2,5334002,1781,Ritter-Chorus-Straße
strassennamen.fid--3213a59_187b3d87864_3bd3,5334002,1783,Robensstraße
strassennamen.fid--3213a59_187b3d87864_3bd4,5334002,1784,Robert-Koch-Straße
strassennamen.fid--3213a59_187b3d87864_3bd5,5334002,1786,Robert-Schuman-Straße
strassennamen.fid--3213a59_187b3d87864_3bd6,5334002,1788,Rödgerheidweg
strassennamen.fid--3213a59_187b3d87864_3bd7,5334002,1790,Römerstraße
strassennamen.fid--3213a59_187b3d87864_3bd8,5334002,1791,Römerweg
strassennamen.fid--3213a59_187b3d87864_3bd9,5334002,1793,Roermonder Straße
strassennamen.fid--3213a59_187b3d87864_3bda,5334002,1794,Rolandplatz
strassennamen.fid--3213a59_187b3d87864_3bdb,5334002,1797,Romaneygasse
strassennamen.fid--3213a59_187b3d87864_3bdc,5334002,1799,Rommelsgasse
strassennamen.fid--3213a59_187b3d87864_3bdd,5334002,1801,Ronheider Berg
strassennamen.fid--3213a59_187b3d87864_3bde,5334002,1802,Ronheider Weg
strassennamen.fid--3213a59_187b3d87864_3bdf,5334002,1803,Ronheider Winkel
strassennamen.fid--3213a59_187b3d87864_3be0,5334002,1804,Roonstraße
strassennamen.fid--3213a59_187b3d87864_3be1,5334002,1805,Rosberg
strassennamen.fid--3213a59_187b3d87864_3be2,5334002,1806,Rosenweg
strassennamen.fid--3213a59_187b3d87864_3be3,5334002,1807,Rosfeld
strassennamen.fid--3213a59_187b3d87864_3be4,5334002,1808,Rosstraße
strassennamen.fid--3213a59_187b3d87864_3be5,5334002,1809,Rotbendenstraße
strassennamen.fid--3213a59_187b3d87864_3be6,5334002,1811,I. Rote-Haag-Weg
strassennamen.fid--3213a59_187b3d87864_3be7,5334002,1812,II. Rote-Haag-Weg
strassennamen.fid--3213a59_187b3d87864_3be8,5334002,1813,Rotter Bruch
strassennamen.fid--3213a59_187b3d87864_3be9,5334002,1814,Rottstraße
strassennamen.fid--3213a59_187b3d87864_3bea,5334002,1817,Rütscher Straße
strassennamen.fid--3213a59_187b3d87864_3beb,5334002,1819,Saarstraße
strassennamen.fid--3213a59_187b3d87864_3bec,5334002,1821,Salierallee
strassennamen.fid--3213a59_187b3d87864_3bed,5334002,1823,Salvatorberg
strassennamen.fid--3213a59_187b3d87864_3bee,5334002,1824,Salvatorstraße
strassennamen.fid--3213a59_187b3d87864_3bef,5334002,1825,Sanatoriumstraße
strassennamen.fid--3213a59_187b3d87864_3bf0,5334002,1826,Sandkaulbach
strassennamen.fid--3213a59_187b3d87864_3bf1,5334002,1827,Sandkaulstraße
strassennamen.fid--3213a59_187b3d87864_3bf2,5334002,1828,St. Johann
strassennamen.fid--3213a59_187b3d87864_3bf3,5334002,1829,St.-Josefs-Platz
strassennamen.fid--3213a59_187b3d87864_3bf4,5334002,1830,St.-Annaberg-Straße
strassennamen.fid--3213a59_187b3d87864_3bf5,5334002,1831,St. Vither Straße
strassennamen.fid--3213a59_187b3d87864_3bf6,5334002,1833,Scheibenstraße
strassennamen.fid--3213a59_187b3d87864_3bf7,5334002,1836,Schenkendorfstraße
strassennamen.fid--3213a59_187b3d87864_3bf8,5334002,1837,Schervierstraße
strassennamen.fid--3213a59_187b3d87864_3bf9,5334002,1839,Scheurenstraße
strassennamen.fid--3213a59_187b3d87864_3bfa,5334002,1841,Schießweg
strassennamen.fid--3213a59_187b3d87864_3bfb,5334002,1842,Schildstraße
strassennamen.fid--3213a59_187b3d87864_3bfc,5334002,1844,Schillerstraße
strassennamen.fid--3213a59_187b3d87864_3bfd,5334002,1846,Schindlerstraße
strassennamen.fid--3213a59_187b3d87864_3bfe,5334002,1848,Schinkelstraße
strassennamen.fid--3213a59_187b3d87864_3bff,5334002,1852,Schleswigstraße
strassennamen.fid--3213a59_187b3d87864_3c00,5334002,1854,Schlossstraße
strassennamen.fid--3213a59_187b3d87864_3c01,5334002,1855,Schmiedstraße
strassennamen.fid--3213a59_187b3d87864_3c02,5334002,1859,Schönforststraße
strassennamen.fid--3213a59_187b3d87864_3c03,5334002,1860,Schönforstwinkel
strassennamen.fid--3213a59_187b3d87864_3c04,5334002,1861,Schönrathstraße
strassennamen.fid--3213a59_187b3d87864_3c05,5334002,1863,Schopenhauerstraße
strassennamen.fid--3213a59_187b3d87864_3c06,5334002,1865,Schützenstraße
strassennamen.fid--3213a59_187b3d87864_3c07,5334002,1866,Schwalbenweg
strassennamen.fid--3213a59_187b3d87864_3c08,5334002,1867,Schwarzer Weg
strassennamen.fid--3213a59_187b3d87864_3c09,5334002,1868,Sebastianstraße
strassennamen.fid--3213a59_187b3d87864_3c0a,5334002,1872,Seffenter Weg
strassennamen.fid--3213a59_187b3d87864_3c0b,5334002,1874,Seilgraben
strassennamen.fid--3213a59_187b3d87864_3c0c,5334002,1876,Siedlung Daheim
strassennamen.fid--3213a59_187b3d87864_3c0d,5334002,1877,Kanonenwiese
strassennamen.fid--3213a59_187b3d87864_3c0e,5334002,1879,Siegelallee
strassennamen.fid--3213a59_187b3d87864_3c0f,5334002,1880,Siemensstraße
strassennamen.fid--3213a59_187b3d87864_3c10,5334002,1881,Sigmundstraße
strassennamen.fid--3213a59_187b3d87864_3c11,5334002,1883,Sittarder Straße
strassennamen.fid--3213a59_187b3d87864_3c12,5334002,1885,Soerser Au
strassennamen.fid--3213a59_187b3d87864_3c13,5334002,1886,Soerser Tal
strassennamen.fid--3213a59_187b3d87864_3c14,5334002,1887,Soerser Weg
strassennamen.fid--3213a59_187b3d87864_3c15,5334002,1889,Soldatengässchen
strassennamen.fid--3213a59_187b3d87864_3c16,5334002,1891,Sophienstraße
strassennamen.fid--3213a59_187b3d87864_3c17,5334002,1893,Spitzgässchen
strassennamen.fid--3213a59_187b3d87864_3c18,5334002,1895,Staudenweg
strassennamen.fid--3213a59_187b3d87864_3c19,5334002,1897,Steffensplatz
strassennamen.fid--3213a59_187b3d87864_3c1a,5334002,1899,Steinkaulstraße
strassennamen.fid--3213a59_187b3d87864_3c1b,5334002,1901,Stephanstraße
strassennamen.fid--3213a59_187b3d87864_3c1c,5334002,1902,Stettiner Straße
strassennamen.fid--3213a59_187b3d87864_3c1d,5334002,1903,Steubenstraße
strassennamen.fid--3213a59_187b3d87864_3c1e,5334002,1905,Stiftstraße
strassennamen.fid--3213a59_187b3d87864_3c1f,5334002,1909,Sträterstraße
strassennamen.fid--3213a59_187b3d87864_3c20,5334002,1911,Stromgasse
strassennamen.fid--3213a59_187b3d87864_3c21,5334002,1913,Südstraße
strassennamen.fid--3213a59_187b3d87864_3c22,5334002,1914,Suermondtplatz
strassennamen.fid--3213a59_187b3d87864_3c23,5334002,1915,Süsterfeldstraße
strassennamen.fid--3213a59_187b3d87864_3c24,5334002,1917,Talbotstraße
strassennamen.fid--3213a59_187b3d87864_3c25,5334002,1918,Talstraße
strassennamen.fid--3213a59_187b3d87864_3c26,5334002,1919,Taubengasse
strassennamen.fid--3213a59_187b3d87864_3c27,5334002,1922,Theaterplatz
strassennamen.fid--3213a59_187b3d87864_3c28,5334002,1923,Theaterstraße
strassennamen.fid--3213a59_187b3d87864_3c29,5334002,1925,Theresienstraße
strassennamen.fid--3213a59_187b3d87864_3c2a,5334002,1926,Thiensweg
strassennamen.fid--3213a59_187b3d87864_3c2b,5334002,1927,Thomashofstraße
strassennamen.fid--3213a59_187b3d87864_3c2c,5334002,1928,Tielmanweg
strassennamen.fid--3213a59_187b3d87864_3c2d,5334002,1929,Tilsiter Straße
strassennamen.fid--3213a59_187b3d87864_3c2e,5334002,1930,Tönnesrather Weg
strassennamen.fid--3213a59_187b3d87864_3c2f,5334002,1931,Trichtergasse
strassennamen.fid--3213a59_187b3d87864_3c30,5334002,1932,Trierer Platz
strassennamen.fid--3213a59_187b3d87864_3c31,5334002,1935,Tulpenweg
strassennamen.fid--3213a59_187b3d87864_3c32,5334002,1940,Ungarnstraße
strassennamen.fid--3213a59_187b3d87864_3c33,5334002,1942,Ursulinerstraße
strassennamen.fid--3213a59_187b3d87864_3c34,5334002,1943,Unterer Backertsweg
strassennamen.fid--3213a59_187b3d87864_3c35,5334002,1944,Valkenburger Straße
strassennamen.fid--3213a59_187b3d87864_3c36,5334002,1946,Veltmanplatz
strassennamen.fid--3213a59_187b3d87864_3c37,5334002,1947,Venn
strassennamen.fid--3213a59_187b3d87864_3c38,5334002,1948,Vereinsstraße
strassennamen.fid--3213a59_187b3d87864_3c39,5334002,1949,Viehhofstraße
strassennamen.fid--3213a59_187b3d87864_3c3a,5334002,1950,Viktoriaallee
strassennamen.fid--3213a59_187b3d87864_3c3b,5334002,1952,Kármánstraße
strassennamen.fid--3213a59_187b3d87864_3c3c,5334002,1953,Virchowstraße
strassennamen.fid--3213a59_187b3d87864_3c3d,5334002,1954,Von-Brandis-Straße
strassennamen.fid--3213a59_187b3d87864_3c3e,5334002,1955,Von-Görschen-Straße
strassennamen.fid--3213a59_187b3d87864_3c3f,5334002,1956,Von-Halfern-Weg
strassennamen.fid--3213a59_187b3d87864_3c40,5334002,1957,Von-Pastor-Straße
strassennamen.fid--3213a59_187b3d87864_3c41,5334002,1958,Wallstraße
strassennamen.fid--3213a59_187b3d87864_3c42,5334002,1959,Warmweiherstraße
strassennamen.fid--3213a59_187b3d87864_3c43,5334002,1960,Wilhelm-Pitz-Weg
strassennamen.fid--3213a59_187b3d87864_3c44,5334002,1961,Weberstraße
strassennamen.fid--3213a59_187b3d87864_3c45,5334002,1962,Waldenburger Straße
strassennamen.fid--3213a59_187b3d87864_3c46,5334002,1963,Weidenweg
strassennamen.fid--3213a59_187b3d87864_3c47,5334002,1964,Weingartsberg
strassennamen.fid--3213a59_187b3d87864_3c48,5334002,1965,Weingartshof
strassennamen.fid--3213a59_187b3d87864_3c49,5334002,1966,Weißenbergweg
strassennamen.fid--3213a59_187b3d87864_3c4a,5334002,1967,Weißenburger Straße
strassennamen.fid--3213a59_187b3d87864_3c4b,5334002,1968,Weißhausstraße
strassennamen.fid--3213a59_187b3d87864_3c4c,5334002,1969,Weißwasserstraße
strassennamen.fid--3213a59_187b3d87864_3c4d,5334002,1970,Welkenrather Straße
strassennamen.fid--3213a59_187b3d87864_3c4e,5334002,1971,Wenzelstraße
strassennamen.fid--3213a59_187b3d87864_3c4f,5334002,1972,Wespienstraße
strassennamen.fid--3213a59_187b3d87864_3c50,5334002,1973,Westend
strassennamen.fid--3213a59_187b3d87864_3c51,5334002,1974,Weststraße
strassennamen.fid--3213a59_187b3d87864_3c52,5334002,1975,Weyhestraße
strassennamen.fid--3213a59_187b3d87864_3c53,5334002,1976,Wiesenstraße
strassennamen.fid--3213a59_187b3d87864_3c54,5334002,1977,Wiesental
strassennamen.fid--3213a59_187b3d87864_3c55,5334002,1979,Wildparkweg
strassennamen.fid--3213a59_187b3d87864_3c56,5334002,1980,Wichernstraße
strassennamen.fid--3213a59_187b3d87864_3c57,5334002,1981,Wilhelmstraße
strassennamen.fid--3213a59_187b3d87864_3c58,5334002,1982,Wurmbenden
strassennamen.fid--3213a59_187b3d87864_3c59,5334002,1983,Wirichsbongardstraße
strassennamen.fid--3213a59_187b3d87864_3c5a,5334002,1984,Wittekindstraße
strassennamen.fid--3213a59_187b3d87864_3c5b,5334002,1986,Walhorner Straße
strassennamen.fid--3213a59_187b3d87864_3c5c,5334002,1987,Yorckstraße
strassennamen.fid--3213a59_187b3d87864_3c5d,5334002,1988,Wüllnerstraße
strassennamen.fid--3213a59_187b3d87864_3c5e,5334002,1989,Zehnthofweg
strassennamen.fid--3213a59_187b3d87864_3c5f,5334002,1991,Zeise
strassennamen.fid--3213a59_187b3d87864_3c60,5334002,1993,Zur Scheidmühle
strassennamen.fid--3213a59_187b3d87864_3c61,5334002,1994,Ziegelweg
strassennamen.fid--3213a59_187b3d87864_3c62,5334002,1995,Zollamtstraße
strassennamen.fid--3213a59_187b3d87864_3c63,5334002,1997,Zollernstraße
strassennamen.fid--3213a59_187b3d87864_3c64,5334002,1998,Zum Kirschbäumchen
strassennamen.fid--3213a59_187b3d87864_3c65,5334002,1999,Zweiweiherweg
strassennamen.fid--3213a59_187b3d87864_3c66,5334002,2000,Adalbertsteinweg
strassennamen.fid--3213a59_187b3d87864_3c67,5334002,2003,Adenauerallee
strassennamen.fid--3213a59_187b3d87864_3c68,5334002,2006,Amsterdamer Ring
strassennamen.fid--3213a59_187b3d87864_3c69,5334002,2008,Amyastraße
strassennamen.fid--3213a59_187b3d87864_3c6a,5334002,2010,Annastraße
strassennamen.fid--3213a59_187b3d87864_3c6b,5334002,2012,Augustastraße
strassennamen.fid--3213a59_187b3d87864_3c6c,5334002,2016,Augustinerweg
strassennamen.fid--3213a59_187b3d87864_3c6d,5334002,2017,Berliner Ring
strassennamen.fid--3213a59_187b3d87864_3c6e,5334002,2019,Bismarckstraße
strassennamen.fid--3213a59_187b3d87864_3c6f,5334002,2022,Bleiberger Straße
strassennamen.fid--3213a59_187b3d87864_3c70,5334002,2024,Blondelstraße
strassennamen.fid--3213a59_187b3d87864_3c71,5334002,2026,Borngasse
strassennamen.fid--3213a59_187b3d87864_3c72,5334002,2028,Boxgraben
strassennamen.fid--3213a59_187b3d87864_3c73,5334002,2031,Brabantstraße
strassennamen.fid--3213a59_187b3d87864_3c74,5334002,2033,Branderhofer Weg
